thread_id,kind,participants,messages,sent_by_me,received,with_text,with_attachments,first_message,last_message,span_days
56dbca3174fd6dd4,individual,1,1,0,1,1,0,2020-02-12,2020-02-12,0
a208c2e08de6bb4b,individual,1,1,0,1,1,0,2020-02-17,2020-02-17,0
aa98c32c29bfd8e9,individual,1,1,0,1,1,0,2020-02-20,2020-02-20,0
6812a2ccaecfb3d4,group,1,1,0,1,1,0,2020-02-22,2020-02-22,0
852d16da71c6f8fc,individual,1,1,0,1,1,0,2020-03-09,2020-03-09,0
b500ff84b12bfe40,individual,1,1,0,1,1,0,2020-03-13,2020-03-13,0
22a711ab5ce795fd,individual,1,1,0,1,1,0,2020-03-21,2020-03-21,0
6eabef712d14edfb,individual,1,1,0,1,1,0,2020-03-22,2020-03-22,0
c409d318033cecf5,individual,1,1,0,1,1,0,2020-03-24,2020-03-24,0
2878ae4d893e6a0b,individual,0,1,1,0,1,0,2020-03-25,2020-03-25,0
ee0b8658e3076f74,individual,1,1,0,1,1,0,2020-03-26,2020-03-26,0
c77d55f335f45baa,individual,1,1,0,1,1,0,2020-04-02,2020-04-02,0
f99652e7660bfc38,individual,1,1,0,1,1,0,2020-04-13,2020-04-13,0
c73e0b40a8aa2d68,individual,0,1,1,0,1,0,2020-04-14,2020-04-14,0
ac50f7e51e3ea87b,group,1,1,0,1,1,0,2020-04-17,2020-04-17,0
2699a3c5f9bd6247,individual,0,1,1,0,1,0,2020-04-18,2020-04-18,0
9f5182872d64fc88,group,1,1,0,1,1,0,2020-04-18,2020-04-18,0
3b4339a90bc5bd66,group,1,1,0,1,1,0,2020-05-07,2020-05-07,0
b7be4fea39ff4807,individual,1,1,0,1,1,0,2020-05-10,2020-05-10,0
a37710511f7277fd,individual,1,1,0,1,1,0,2020-05-12,2020-05-12,0
f420bc0ffcd2814a,individual,1,1,0,1,1,0,2020-05-19,2020-05-19,0
da64895239c46105,individual,1,1,0,1,1,0,2020-05-20,2020-05-20,0
cf2f84c48336e45b,individual,1,1,0,1,1,0,2020-05-24,2020-05-24,0
b2b46850b083ca9e,individual,0,1,1,0,1,0,2020-06-20,2020-06-20,0
ba91272d9b3b4aed,individual,1,1,0,1,1,0,2023-09-13,2023-09-13,0
8736a8e74273b83e,individual,1,1,0,1,1,0,2023-10-02,2023-10-02,0
ae1bae5583d35150,individual,1,1,0,1,1,0,2023-10-03,2023-10-03,0
0cfb1dc33498b046,individual,1,1,0,1,1,0,2023-10-13,2023-10-13,0
6bdd9ba6aa117152,individual,1,1,0,1,1,0,2023-10-17,2023-10-17,0
48fb681b071767c5,individual,1,1,0,1,1,0,2023-10-28,2023-10-28,0
ae88e4beb8d3e40c,individual,1,1,0,1,1,0,2023-10-31,2023-10-31,0
0501daca7d3828ea,individual,0,1,1,0,1,0,2023-12-23,2023-12-23,0
fc6dd92d07f1717e,individual,1,1,0,1,1,0,2024-05-24,2024-05-24,0
51e76c1d56e8747f,individual,1,1,0,1,1,0,2024-05-24,2024-05-24,0
4a707098a855cfc4,individual,1,1,0,1,1,0,2024-05-24,2024-05-24,0
0ff188c40f62501f,individual,1,1,0,1,1,0,2024-09-30,2024-09-30,0
81b762cc9ad9271b,individual,1,1,0,1,1,0,2024-10-01,2024-10-01,0
59677bed9e2271cd,individual,1,1,0,1,1,0,2024-10-25,2024-10-25,0
b64eea9d29e11dd7,individual,1,1,0,1,1,0,2025-02-22,2025-02-22,0
eda7e93569b30837,individual,1,1,0,1,1,0,2025-03-08,2025-03-08,0
eef3497ba7940b4e,group,0,1,1,0,0,1,2025-03-13,2025-03-13,0
2cf2fef6ebf32051,individual,1,1,0,1,1,0,2025-03-17,2025-03-17,0
90513d63f0ad3bcb,individual,1,1,0,1,1,0,2025-03-31,2025-03-31,0
611ba8e7c6b49a7e,individual,1,1,0,1,1,0,2025-04-04,2025-04-04,0
9c526efd71976362,individual,1,1,0,1,1,0,2025-04-13,2025-04-13,0
0caf08b48faf4c60,individual,1,1,0,1,1,0,2025-04-25,2025-04-25,0
1134fa218432b9f6,individual,1,1,0,1,1,0,2025-05-06,2025-05-06,0
90aceeddc51e162f,individual,1,1,0,1,1,0,2025-05-25,2025-05-25,0
7b9e213b5f1c1cec,group,1,1,0,1,1,0,2025-07-08,2025-07-08,0
70005d6b04436ac8,individual,1,1,0,1,1,0,2025-07-11,2025-07-11,0
6bf05e6dc9821307,individual,1,1,0,1,1,0,2025-07-14,2025-07-14,0
2fd681b06cb50494,individual,1,1,0,1,1,0,2025-07-16,2025-07-16,0
f64021f60085d678,individual,1,1,0,1,1,0,2025-07-21,2025-07-21,0
18fa8e35da42f0a5,individual,1,1,0,1,1,0,2025-07-22,2025-07-22,0
7437bc70a435a1a0,group,1,1,0,1,0,0,2025-08-01,2025-08-01,0
b1d8e7421a5ad770,individual,1,1,0,1,1,0,2025-08-08,2025-08-08,0
8666fb3daf19e04b,individual,1,1,0,1,1,0,2025-08-11,2025-08-11,0
bd4d428ef7895af9,individual,1,1,0,1,1,0,2025-08-14,2025-08-14,0
21130dc5a7b35e41,individual,1,1,0,1,1,0,2025-08-24,2025-08-24,0
e245160b12ca6771,group,0,1,1,0,1,0,2025-09-14,2025-09-14,0
0d92c15faed2a73f,individual,1,1,0,1,1,0,2025-11-26,2025-11-26,0
61d7b6765a68cc83,individual,1,1,0,1,1,0,2025-11-30,2025-11-30,0
8c179a5374c977b0,individual,1,1,0,1,1,0,2025-12-30,2025-12-30,0
6e8f23e3c81db580,individual,1,1,0,1,1,0,2026-01-07,2026-01-07,0
a2b4dfe89092c47b,individual,1,1,0,1,1,0,2026-01-13,2026-01-13,0
53fbed7f51aacfce,group,0,1,1,0,1,1,2026-01-28,2026-01-28,0
68be8ab219f3e2a9,individual,0,1,1,0,1,0,2026-02-15,2026-02-15,0
fb52ead6d9f749af,individual,0,1,1,0,1,0,2026-05-06,2026-05-06,0
